ids,parent
Mimosa,Blossoms
Liliac,Blossoms
Orange Flower,Blossoms
Cherry,Rose Like
Apricot,Rose Like
Violet,Rose Like
Rose,Rose Like
Jasmin,Rose Like
Blueberry,Berries
Raspberry,Berries
Strawberry,Berries
Pineapple,Tropical
Mango,Tropical
Mellon,Tropical
Guava,Tropical
Pear,Rosaceae
Apple,Rosaceae
Peach,Rosaceae
Plum,Rosaceae
Cedar,Spices
Black Pepper,Spices
Green Pepper,Spices
Rosemary,Herbs
Sage,Herbs
Basil,Herbs
Thyme,Herbs
Dill,Herbs
Cinnamon,Herbs
Saffron,Herbs
Cloves,Herbs
Parsley,Herbs
Fennel,Herbs
Ginger,Herbs
Mint,Herbs
Naga,Chili
Jalapeno,Chili
Tabasco,Chili
Pink Salt,Salty
Sea Salt,Salty
Ammonia,Chemical
Metallic,Chemical
Vinegar,Chemical
Coffee,Plants
Cocoa,Plants
Tea,Plants
Tobacco,Plants
Onion,Garlic
Chives,Garlic
Peas,Legumes
Cucumber,Legumes
Chestnut,Roasted
Peanut,Roasted
Sesame,Roasted
Pistachio,Roasted
Almond,Fresh
Walnut,Fresh
Macadamia,Fresh
Butter,Cream
Sour Cream,Cream
Whipped Cream,Cream
Cream Cheese,Milk
Blue Cheese,Milk
Sour Milk,Milk
Pink Grapefruit,Orange
Blood Orange,Orange
Sweet Orange,Orange
Mandarin,Orange
Grapefruit,Orange
Bread Fruit,Orange
Lime,Lemon
Sweet Lemon,Lemon
Lemon Grass,Lemon
Blossoms,Flowery
Blossoms,Flowery
Blossoms,Flowery
Rose Like,Flowery
Rose Like,Flowery
Rose Like,Flowery
Rose Like,Flowery
Rose Like,Flowery
Berries,Fruity
Berries,Fruity
Berries,Fruity
Tropical,Fruity
Tropical,Fruity
Tropical,Fruity
Tropical,Fruity
Rosaceae,Fruity
Rosaceae,Fruity
Rosaceae,Fruity
Rosaceae,Fruity
Spices,Warm
Spices,Warm
Spices,Warm
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Herbs,Sharp
Chili,Sharp
Chili,Sharp
Chili,Sharp
Salty,Mineral
Salty,Mineral
Chemical,Mineral
Chemical,Mineral
Chemical,Mineral
Plants,Vegetal
Plants,Vegetal
Plants,Vegetal
Plants,Vegetal
Garlic,Vegetal
Garlic,Vegetal
Legumes,Vegetal
Legumes,Vegetal
Roasted,Nutty
Roasted,Nutty
Roasted,Nutty
Roasted,Nutty
Fresh,Nutty
Fresh,Nutty
Fresh,Nutty
Cream,Dairy
Cream,Dairy
Cream,Dairy
Milk,Dairy
Milk,Dairy
Milk,Dairy
Orange,Citrus
Orange,Citrus
Orange,Citrus
Orange,Citrus
Orange,Citrus
Orange,Citrus
Lemon,Citrus
Lemon,Citrus
Lemon,Citrus
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Flowery,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Fruity,Sweet
Warm,Spicy
Warm,Spicy
Warm,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Sharp,Spicy
Mineral,Bitter
Mineral,Bitter
Mineral,Bitter
Mineral,Bitter
Mineral,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Vegetal,Bitter
Nutty,Bitter
Nutty,Bitter
Nutty,Bitter
Nutty,Bitter
Nutty,Bitter
Nutty,Bitter
Nutty,Bitter
Dairy,Sour
Dairy,Sour
Dairy,Sour
Dairy,Sour
Dairy,Sour
Dairy,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Citrus,Sour
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Sweet,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Spicy,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Bitter,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
Sour,
