ids,parent
Orange Flower,Blossoms
Cherry,Rose Like
Apricot,Rose Like
Violet,Rose Like
Rose,Rose Like
Jasmin,Rose Like
Blueberry,Berries
Raspberry,Berries
Strawberry,Berries
Pineapple,Tropical
Mango,Tropical
Mellon,Tropical
Guava,Tropical
Pear,Rosaceae
Apple,Rosaceae
Peach,Rosaceae
Plum,Rosaceae
Cedar,Spices
Black Pepper,Spices
Green Pepper,Spices
Rosemary,Herbs
Sage,Herbs
Basil,Herbs
Thyme,Herbs
Dill,Herbs
Cinnamon,Herbs
Saffron,Herbs
Cloves,Herbs
Parsley,Herbs
Fennel,Herbs
Ginger,Herbs
Mint,Herbs
Naga,Chili
Jalapeno,Chili
Tabasco,Chili
Pink Salt,Salty
Sea Salt,Salty
Ammonia,Chemical
Metallic,Chemical
Vinegar,Chemical
Coffee,Plants
Cocoa,Plants
Tea,Plants
Tobacco,Plants
Onion,Garlic
Chives,Garlic
Peas,Legumes
Cucumber,Legumes
Chestnut,Roasted
Peanut,Roasted
Sesame,Roasted
Pistachio,Roasted
Almond,Fresh
Walnut,Fresh
Macadamia,Fresh
Butter,Cream
Sour Cream,Cream
Whipped Cream,Cream
Cream Cheese,Milk
Blue Cheese,Milk
Sour Milk,Milk
Pink Grapefruit,Orange
Blood Orange,Orange
Sweet Orange,Orange
Mandarin,Orange
Grapefruit,Orange
Bread Fruit,Orange
Lime,Lemon
Sweet Lemon,Lemon
Lemon Grass,Lemon
Blossoms,Flowery
Rose Like,Flowery
Berries,Fruity
Tropical,Fruity
Rosaceae,Fruity
Spices,Warm
Herbs,Sharp
Chili,Sharp
Salty,Mineral
Chemical,Mineral
Plants,Vegetal
Garlic,Vegetal
Legumes,Vegetal
Roasted,Nutty
Fresh,Nutty
Cream,Dairy
Milk,Dairy
Orange,Citrus
Lemon,Citrus
Flowery,Sweet
Fruity,Sweet
Warm,Spicy
Sharp,Spicy
Mineral,Bitter
Vegetal,Bitter
Nutty,Bitter
Dairy,Sour
Citrus,Sour
Sweet,
Spicy,
Bitter,
Sour,
Mimosa,Blossoms
Liliac,Blossoms
