ids,labels,parent,color
Flavors,Flavors,,#D3D3D3
Effects,Effects,,#D3D3D3
Ammonia,Ammonia,Flavors,#75816b
Apple,Apple,Flavors,#75816b
Apricot,Apricot,Flavors,#75816b
Berry,Berry,Flavors,#75816b
Blue Cheese,Blue Cheese,Flavors,#75816b
Blueberry,Blueberry,Flavors,#75816b
Cheese,Cheese,Flavors,#75816b
Chemical,Chemical,Flavors,#75816b
Chestnut,Chestnut,Flavors,#75816b
Citrus,Citrus,Flavors,#75816b
Coffee,Coffee,Flavors,#75816b
Diesel,Diesel,Flavors,#75816b
Earthy,Earthy,Flavors,#75816b
Flowery,Flowery,Flavors,#00FF00
Grape,Grape,Flavors,#75816b
Grapefruit,Grapefruit,Flavors,#00FF00
Honey,Honey,Flavors,#75816b
Lavender,Lavender,Flavors,#75816b
Lemon,Lemon,Flavors,#00FF00
Lime,Lime,Flavors,#75816b
Mango,Mango,Flavors,#75816b
Mint,Mint,Flavors,#75816b
Nutty,Nutty,Flavors,#75816b
Orange,Orange,Flavors,#75816b
Pepper,Pepper,Flavors,#75816b
Pine,Pine,Flavors,#75816b
Pineapple,Pineapple,Flavors,#75816b
Plum,Plum,Flavors,#75816b
Pungent,Pungent,Flavors,#75816b
Sage,Sage,Flavors,#75816b
Skunk,Skunk,Flavors,#75816b
Spicy/Herbal,Spicy/Herbal,Flavors,#75816b
Strawberry,Strawberry,Flavors,#75816b
Sweet,Sweet,Flavors,#75816b
Tar,Tar,Flavors,#75816b
Tea,Tea,Flavors,#75816b
Tobacco,Tobacco,Flavors,#75816b
Tree Fruit,Tree Fruit,Flavors,#75816b
Tropical,Tropical,Flavors,#75816b
Vanilla,Vanilla,Flavors,#75816b
Woody,Woody,Flavors,#75816b
Aroused,Aroused,Effects,#75816b
Creative,Creative,Effects,#75816b
Energetic,Energetic,Effects,#75816b
Euphoric,Euphoric,Effects,#75816b
Focused,Focused,Effects,#75816b
Giggly,Giggly,Effects,#75816b
Happy,Happy,Effects,#00FF00
Hungry,Hungry,Effects,#75816b
Relaxed,Relaxed,Effects,#75816b
Sleepy,Sleepy,Effects,#75816b
Talkative,Talkative,Effects,#00FF00
Tingly,Tingly,Effects,#75816b
Uplifted,Uplifted,Effects,#00FF00
